zips,cbsa,cbsa_type
60602,16980,1
62918,32060,2
60431,16980,1
60901,28100,1
62801,41180,1
60150,16980,1
60030,16980,1
60045,16980,1
61938,16660,2
62035,41180,1
60446,16980,1
62656,30660,2
62794,44100,1
60611,16980,1
60012,16980,1
62254,41180,1
61614,37900,1
62522,19500,1
61462,23660,2
60465,16980,1
61270,44580,2
60804,16980,1
60148,16980,1
60540,16980,1
60625,16980,1
60115,16980,1
60630,16980,1
60208,16980,1
60016,16980,1
60914,28100,1
61821,16580,1
60411,16980,1
62028,41180,1
62301,39500,2
60654,16980,1
62846,34500,2
62521,19500,1
61114,40420,1
61103,40420,1
61108,40420,1
61603,37900,1
60435,16980,1
62702,44100,1
60655,16980,1
62707,44100,1
61021,19940,2
62992,-2,-2
62946,25380,2
61520,15900,2
62901,16060,2
62026,41180,1
60473,16980,1
60463,16980,1
60015,16980,1
60171,16980,1
60554,16980,1
60302,16980,1
61455,31380,2
60187,16980,1
60067,16980,1
46513,38500,2
46012,11300,1
47306,34620,1
46545,43780,1
46208,26900,1
46394,16980,1
46342,16980,1
46135,26900,1
47374,39980,2
47722,21780,1
46807,23060,1
46131,26900,1
46526,21140,1
46590,47700,2
47243,31500,2
46556,43780,1
46750,26540,2
46601,43780,1
46206,26900,1
47203,18020,1
47302,34620,1
46903,29020,1
47905,29140,1
46805,23060,1
47172,31140,1
47710,21780,1
47802,45460,1
46409,16980,1
47250,31500,2
46202,26900,1
46204,26900,1
46952,31980,2
47303,34620,1
46227,26900,1
46803,23060,1
47712,21780,1
47809,45460,1
46904,29020,1
46634,43780,1
47405,14020,1
46408,16980,1
47150,31140,1
46804,23060,1
46256,26900,1
37214,34980,1
46825,23060,1
46268,26900,1
46410,16980,1
46962,47340,2
46222,26900,1
46953,31980,2
46218,26900,1
46617,43780,1
47130,31140,1
47660,21780,1
46278,26900,1
46323,16980,1
46391,33140,1
47803,45460,1
46808,23060,1
47978,16980,1
47876,45460,1
46324,16980,1
46989,31980,2
46703,11420,2
46383,16980,1
47591,47180,2
47933,18820,2
50703,47940,1
50321,19780,1
51104,43580,1
50588,44740,2
50219,37800,2
52001,20220,1
52402,16300,1
52314,16300,1
50021,19780,1
52045,20220,1
51250,-2,-2
50311,19780,1
50126,-2,-2
52801,19340,1
50140,-2,-2
50316,19780,1
