UNITID,ADMCON1,ADMCON2,ADMCON3,ADMCON4,ADMCON5,ADMCON6,ADMCON7,ADMCON8,ADMCON9,ADMCON10,ADMCON11,ADMCON12,XAPPLCN,APPLCN,XAPPLCNM,APPLCNM,XAPPLCNW,APPLCNW,XAPPLCNAN,APPLCNAN,XAPPLCNUN,APPLCNUN,XADMSSN,ADMSSN,XADMSSNM,ADMSSNM,XADMSSNW,ADMSSNW,XADMSSNAN,ADMSSNAN,XADMSSNUN,ADMSSNUN,XENRLT,ENRLT,XENRLM,ENRLM,XENRLW,ENRLW,XENRLAN,ENRLAN,XENRLUN,ENRLUN,XENRLFT,ENRLFT,XENRLFTM,ENRLFTM,XENRLFTW,ENRLFTW,XENRLFTAN,ENRLFTAN,XENRLFTUN,ENRLFTUN,XENRLPT,ENRLPT,XENRLPTM,ENRLPTM,XENRLPTW,ENRLPTW,XENRLPTAN,ENRLPTAN,XENRLPTUN,ENRLPTUN,XSATNUM,SATNUM,XSATPCT,SATPCT,XACTNUM,ACTNUM,XACTPCT,ACTPCT,XSATVR25,SATVR25,XSATVR50,SATVR50,XSATVR75,SATVR75,XSATMT25,SATMT25,XSATMT50,SATMT50,XSATMT75,SATMT75,XACTCM25,ACTCM25,XACTCM50,ACTCM50,XACTCM75,ACTCM75,XACTEN25,ACTEN25,XACTEN50,ACTEN50,XACTEN75,ACTEN75,XACTMT25,ACTMT25,XACTMT50,ACTMT50,XACTMT75,ACTMT75
174792,1,5,1,1,5,3,5,1,3,5,5,3,R,1685,R,1685,R,0,R,0,R,0,R,1527,R,1527,A,,A,,R,0,R,335,R,335,A,,A,,R,0,R,335,R,335,A,,A,,R,0,A,,A,,A,,A,,A,,R,14,R,4,R,165,R,49,R,503,R,555,R,635,R,438,R,545,R,593,R,21,R,24,R,27,R,18,R,22,R,25,R,20,R,25,R,27
174817,1,3,1,3,3,3,3,1,3,3,3,3,R,1441,R,518,R,909,A,,R,14,R,1337,R,483,R,854,A,,R,0,R,252,R,111,R,141,A,,R,0,R,251,R,110,R,141,A,,R,0,R,1,R,1,Z,0,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
174844,1,5,1,1,1,5,5,1,3,5,1,5,R,6623,R,2979,R,3490,R,153,R,1,R,3200,R,1268,R,1840,R,92,R,0,R,859,R,333,R,489,R,37,R,0,R,859,R,333,R,489,R,37,R,0,A,,A,,A,,A,,A,,R,92,R,11,R,249,R,29,R,660,R,700,R,740,R,640,R,680,R,730,R,28,R,30,R,32,R,28,R,32,R,35,R,25,R,28,R,30
174862,1,3,1,3,3,3,3,1,3,3,1,5,R,2261,R,1603,R,658,A,,R,0,R,515,R,334,R,181,A,,R,0,R,196,R,106,R,90,A,,R,0,R,177,R,94,R,83,A,,R,0,R,19,R,12,R,7,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
174899,1,3,1,3,3,3,5,1,3,3,3,3,R,2387,R,1034,R,1346,S,,S,,R,2219,R,954,R,1259,S,,S,,R,375,R,135,R,237,S,,S,,R,374,R,134,R,237,S,,S,,R,1,R,1,R,0,S,,S,,R,1,R,1,R,94,R,25,S,,S,,S,,S,,S,,S,,R,19,R,22,R,25,R,17,R,21,R,24,R,17,R,21,R,25
174914,1,5,1,3,5,3,5,1,3,5,5,3,R,9774,R,4405,R,5345,S,,S,,R,8343,R,3729,R,4605,S,,S,,R,1737,R,814,R,923,S,,S,,R,1737,R,814,R,923,S,,S,,R,0,R,0,R,0,S,,S,,R,52,R,3,R,462,R,27,R,640,R,680,R,713,R,620,R,665,R,710,R,25,R,27,R,30,R,23,R,26,R,30,R,24,R,27,R,30
175005,1,5,1,5,1,3,5,1,3,5,1,5,R,2441,R,4,R,2437,S,,S,,R,2242,R,4,R,2238,S,,S,,R,421,R,3,R,418,S,,S,,R,393,R,1,R,392,S,,S,,R,28,R,2,R,26,S,,S,,R,5,R,1,R,100,R,24,R,480,R,530,R,560,R,370,R,550,R,580,R,20,R,23,R,26,R,19,R,22,R,26,R,17,R,22,R,25
175078,1,5,5,5,5,5,5,1,5,5,5,3,R,2811,R,1317,R,1457,S,,S,,R,1748,R,749,R,971,S,,S,,R,388,R,156,R,228,S,,S,,R,363,R,150,R,209,S,,S,,R,25,R,6,R,19,S,,S,,Z,0,Z,0,R,157,R,40,A,,A,,A,,A,,A,,A,,R,16,R,20,R,23,R,15,R,18,R,22,R,16,R,19,R,24
175227,1,3,1,3,3,3,5,3,3,5,1,5,R,533,R,439,R,94,A,,R,0,R,527,R,437,R,90,A,,R,0,R,356,R,299,R,57,A,,R,0,R,308,R,259,R,49,A,,R,0,R,48,R,40,R,8,A,,R,0,R,0,R,0,R,13,R,4,A,,A,,A,,A,,A,,A,,R,18,R,22,R,26,R,15,R,21,R,25,R,15,R,19,R,25
175272,1,5,1,1,3,3,3,1,3,3,3,3,R,6642,R,2142,R,4465,A,,R,35,R,5014,R,1524,R,3459,A,,R,31,R,1213,R,340,R,873,A,,R,0,R,1190,R,336,R,854,A,,R,0,R,23,R,4,R,19,A,,R,0,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,
175342,1,5,1,3,5,3,1,1,3,3,3,3,R,6532,R,1924,R,4608,A,,R,0,R,2961,R,792,R,2169,A,,R,0,R,610,R,178,R,432,A,,R,0,R,549,R,160,R,389,A,,R,0,R,61,R,18,R,43,A,,R,0,R,49,R,8,R,561,R,92,R,400,R,430,R,513,R,270,R,410,R,485,R,15,R,16,R,19,R,13,R,15,R,19,R,15,R,16,R,17
175421,1,3,1,5,5,3,5,1,3,3,5,3,R,2637,R,965,R,1672,A,,R,0,R,1312,R,506,R,806,A,,R,0,R,243,R,120,R,123,A,,R,0,R,241,R,120,R,121,A,,R,0,R,2,R,0,R,2,A,,R,0,R,20,R,8,R,159,R,75,R,490,R,579,R,668,R,520,R,575,R,630,R,19,R,22,R,24,R,17,R,21,R,25,R,17,R,21,R,24
