UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN
100663,1,1,999,R,24893,R,9388,R,15505,R,41,R,16,R,25,R,1804,R,684,R,1120,R,5518,R,1596,R,3922,R,1464,R,529,R,935,R,12,R,6,R,6,R,12196,R,4663,R,7533,R,1010,R,372,R,638,R,670,R,209,R,461,R,2178,R,1313,R,865,R,284,A,,R,284,R,24609
100663,2,2,1,R,14093,R,5322,R,8771,R,25,R,12,R,13,R,1174,R,451,R,723,R,3874,R,1206,R,2668,R,1053,R,380,R,673,R,9,R,4,R,5,R,6775,R,2770,R,4005,R,716,R,263,R,453,R,85,R,30,R,55,R,382,R,206,R,176,R,9,A,,R,9,R,14084
100663,3,-2,1,R,13430,R,5060,R,8370,R,24,R,12,R,12,R,1142,R,437,R,705,R,3694,R,1157,R,2537,R,1025,R,373,R,652,R,9,R,4,R,5,R,6473,R,2650,R,3823,R,692,R,258,R,434,R,83,R,29,R,54,R,288,R,140,R,148,A,,A,,A,,A,
100663,4,-2,1,R,2168,R,733,R,1435,R,4,R,1,R,3,R,274,R,99,R,175,R,685,R,200,R,485,R,170,R,60,R,110,R,1,R,1,R,0,R,855,R,305,R,550,R,116,R,45,R,71,R,19,R,7,R,12,R,44,R,15,R,29,A,,A,,A,,A,
100663,5,-2,1,R,11262,R,4327,R,6935,R,20,R,11,R,9,R,868,R,338,R,530,R,3009,R,957,R,2052,R,855,R,313,R,542,R,8,R,3,R,5,R,5618,R,2345,R,3273,R,576,R,213,R,363,R,64,R,22,R,42,R,244,R,125,R,119,A,,A,,A,,A,
100663,11,-2,1,R,663,R,262,R,401,R,1,R,0,R,1,R,32,R,14,R,18,R,180,R,49,R,131,R,28,R,7,R,21,R,0,R,0,R,0,R,302,R,120,R,182,R,24,R,5,R,19,R,2,R,1,R,1,R,94,R,66,R,28,A,,A,,A,,A,
100663,12,4,3,R,10800,R,4066,R,6734,R,16,R,4,R,12,R,630,R,233,R,397,R,1644,R,390,R,1254,R,411,R,149,R,262,R,3,R,2,R,1,R,5421,R,1893,R,3528,R,294,R,109,R,185,R,585,R,179,R,406,R,1796,R,1107,R,689,R,275,A,,R,275,R,10525
100663,19,-2,1,R,1508,R,602,R,906,R,2,R,1,R,1,R,38,R,15,R,23,R,440,R,148,R,292,R,115,R,38,R,77,R,1,R,1,R,0,R,812,R,356,R,456,R,74,R,27,R,47,R,4,R,2,R,2,R,22,R,14,R,8,A,,A,,A,,A,
100663,20,-2,1,R,9754,R,3725,R,6029,R,18,R,10,R,8,R,830,R,323,R,507,R,2569,R,809,R,1760,R,740,R,275,R,465,R,7,R,2,R,5,R,4806,R,1989,R,2817,R,502,R,186,R,316,R,60,R,20,R,40,R,222,R,111,R,111,A,,A,,A,,A,
100663,21,-2,999,R,16358,R,6387,R,9971,R,26,R,10,R,16,R,1448,R,538,R,910,R,3440,R,1045,R,2395,R,1057,R,382,R,675,R,9,R,4,R,5,R,7578,R,2977,R,4601,R,715,R,283,R,432,R,290,R,87,R,203,R,1795,R,1061,R,734,A,,A,,A,,A,
100663,22,-2,1,R,10456,R,3898,R,6558,R,18,R,8,R,10,R,1042,R,387,R,655,R,2800,R,883,R,1917,R,838,R,296,R,542,R,7,R,3,R,4,R,4814,R,1924,R,2890,R,548,R,209,R,339,R,72,R,24,R,48,R,317,R,164,R,153,A,,A,,A,,A,
100663,23,-2,1,R,10371,R,3849,R,6522,R,18,R,8,R,10,R,1042,R,387,R,655,R,2790,R,878,R,1912,R,838,R,296,R,542,R,7,R,3,R,4,R,4804,R,1920,R,2884,R,546,R,208,R,338,R,72,R,24,R,48,R,254,R,125,R,129,A,,A,,A,,A,
100663,24,-2,1,R,2114,R,709,R,1405,R,4,R,1,R,3,R,272,R,98,R,174,R,666,R,193,R,473,R,165,R,58,R,107,R,1,R,1,R,0,R,831,R,294,R,537,R,112,R,42,R,70,R,19,R,7,R,12,R,44,R,15,R,29,A,,A,,A,,A,
100663,25,-2,1,R,8257,R,3140,R,5117,R,14,R,7,R,7,R,770,R,289,R,481,R,2124,R,685,R,1439,R,673,R,238,R,435,R,6,R,2,R,4,R,3973,R,1626,R,2347,R,434,R,166,R,268,R,53,R,17,R,36,R,210,R,110,R,100,A,,A,,A,,A,
100663,31,-2,1,R,85,R,49,R,36,R,0,R,0,R,0,R,0,R,0,R,0,R,10,R,5,R,5,R,0,R,0,R,0,R,0,R,0,R,0,R,10,R,4,R,6,R,2,R,1,R,1,R,0,R,0,R,0,R,63,R,39,R,24,A,,A,,A,,A,
100663,32,-2,3,R,5902,R,2489,R,3413,R,8,R,2,R,6,R,406,R,151,R,255,R,640,R,162,R,478,R,219,R,86,R,133,R,2,R,1,R,1,R,2764,R,1053,R,1711,R,167,R,74,R,93,R,218,R,63,R,155,R,1478,R,897,R,581,A,,A,,A,,A,
100663,39,-2,1,R,1000,R,425,R,575,R,2,R,1,R,1,R,25,R,10,R,15,R,296,R,116,R,180,R,87,R,29,R,58,R,1,R,1,R,0,R,513,R,233,R,280,R,54,R,21,R,33,R,3,R,2,R,1,R,19,R,12,R,7,A,,A,,A,,A,
100663,40,-2,1,R,7257,R,2715,R,4542,R,12,R,6,R,6,R,745,R,279,R,466,R,1828,R,569,R,1259,R,586,R,209,R,377,R,5,R,1,R,4,R,3460,R,1393,R,2067,R,380,R,145,R,235,R,50,R,15,R,35,R,191,R,98,R,93,A,,A,,A,,A,
100663,41,-2,999,R,8535,R,3001,R,5534,R,15,R,6,R,9,R,356,R,146,R,210,R,2078,R,551,R,1527,R,407,R,147,R,260,R,3,R,2,R,1,R,4618,R,1686,R,2932,R,295,R,89,R,206,R,380,R,122,R,258,R,383,R,252,R,131,A,,A,,A,,A,
100663,42,-2,1,R,3637,R,1424,R,2213,R,7,R,4,R,3,R,132,R,64,R,68,R,1074,R,323,R,751,R,215,R,84,R,131,R,2,R,1,R,1,R,1961,R,846,R,1115,R,168,R,54,R,114,R,13,R,6,R,7,R,65,R,42,R,23,A,,A,,A,,A,
100663,43,-2,1,R,3059,R,1211,R,1848,R,6,R,4,R,2,R,100,R,50,R,50,R,904,R,279,R,625,R,187,R,77,R,110,R,2,R,1,R,1,R,1669,R,730,R,939,R,146,R,50,R,96,R,11,R,5,R,6,R,34,R,15,R,19,A,,A,,A,,A,
100663,44,-2,1,R,54,R,24,R,30,R,0,R,0,R,0,R,2,R,1,R,1,R,19,R,7,R,12,R,5,R,2,R,3,R,0,R,0,R,0,R,24,R,11,R,13,R,4,R,3,R,1,R,0,R,0,R,0,R,0,R,0,R,0,A,,A,,A,,A,
100663,45,-2,1,R,3005,R,1187,R,1818,R,6,R,4,R,2,R,98,R,49,R,49,R,885,R,272,R,613,R,182,R,75,R,107,R,2,R,1,R,1,R,1645,R,719,R,926,R,142,R,47,R,95,R,11,R,5,R,6,R,34,R,15,R,19,A,,A,,A,,A,
100663,51,-2,1,R,578,R,213,R,365,R,1,R,0,R,1,R,32,R,14,R,18,R,170,R,44,R,126,R,28,R,7,R,21,R,0,R,0,R,0,R,292,R,116,R,176,R,22,R,4,R,18,R,2,R,1,R,1,R,31,R,27,R,4,A,,A,,A,,A,
100663,52,-2,3,R,4898,R,1577,R,3321,R,8,R,2,R,6,R,224,R,82,R,142,R,1004,R,228,R,776,R,192,R,63,R,129,R,1,R,1,R,0,R,2657,R,840,R,1817,R,127,R,35,R,92,R,367,R,116,R,251,R,318,R,210,R,108,A,,A,,A,,A,
100663,59,-2,1,R,508,R,177,R,331,R,0,R,0,R,0,R,13,R,5,R,8,R,144,R,32,R,112,R,28,R,9,R,19,R,0,R,0,R,0,R,299,R,123,R,176,R,20,R,6,R,14,R,1,R,0,R,1,R,3,R,2,R,1,A,,A,,A,,A,
100663,60,-2,1,R,2497,R,1010,R,1487,R,6,R,4,R,2,R,85,R,44,R,41,R,741,R,240,R,501,R,154,R,66,R,88,R,2,R,1,R,1,R,1346,R,596,R,750,R,122,R,41,R,81,R,10,R,5,R,5,R,31,R,13,R,18,A,,A,,A,,A,
100690,1,1,999,R,861,R,377,R,484,R,11,R,7,R,4,R,10,R,7,R,3,R,482,R,128,R,354,R,31,R,21,R,10,R,8,R,6,R,2,R,308,R,201,R,107,Z,0,Z,0,Z,0,R,11,R,7,R,4,Z,0,Z,0,Z,0,R,0,A,,R,0,R,861
100690,2,2,1,R,337,R,125,R,212,R,1,Z,0,R,1,R,2,R,1,R,1,R,240,R,63,R,177,R,10,R,7,R,3,R,1,Z,0,R,1,R,78,R,52,R,26,Z,0,Z,0,Z,0,R,5,R,2,R,3,Z,0,Z,0,Z,0,R,0,A,,R,0,R,337
100690,3,-2,1,R,334,R,122,R,212,R,1,Z,0,R,1,R,2,R,1,R,1,R,240,R,63,R,177,R,10,R,7,R,3,R,1,Z,0,R,1,R,75,R,49,R,26,Z,0,Z,0,Z,0,R,5,R,2,R,3,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,5,-2,1,R,334,R,122,R,212,R,1,Z,0,R,1,R,2,R,1,R,1,R,240,R,63,R,177,R,10,R,7,R,3,R,1,Z,0,R,1,R,75,R,49,R,26,Z,0,Z,0,Z,0,R,5,R,2,R,3,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,11,-2,1,R,3,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,3,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,12,4,3,R,524,R,252,R,272,R,10,R,7,R,3,R,8,R,6,R,2,R,242,R,65,R,177,R,21,R,14,R,7,R,7,R,6,R,1,R,230,R,149,R,81,Z,0,Z,0,Z,0,R,6,R,5,R,1,Z,0,Z,0,Z,0,R,0,A,,R,0,R,524
100690,19,-2,1,R,287,R,110,R,177,R,1,Z,0,R,1,R,2,R,1,R,1,R,203,R,57,R,146,R,8,R,5,R,3,R,1,Z,0,R,1,R,67,R,45,R,22,Z,0,Z,0,Z,0,R,5,R,2,R,3,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,20,-2,1,R,47,R,12,R,35,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,37,R,6,R,31,R,2,R,2,Z,0,Z,0,Z,0,Z,0,R,8,R,4,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,21,-2,999,R,389,R,171,R,218,R,7,R,5,R,2,R,4,R,3,R,1,R,227,R,66,R,161,R,10,R,8,R,2,R,4,R,3,R,1,R,130,R,82,R,48,Z,0,Z,0,Z,0,R,7,R,4,R,3,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,22,-2,1,R,216,R,76,R,140,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,161,R,41,R,120,R,3,R,3,Z,0,Z,0,Z,0,Z,0,R,46,R,29,R,17,Z,0,Z,0,Z,0,R,5,R,2,R,3,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,23,-2,1,R,213,R,73,R,140,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,161,R,41,R,120,R,3,R,3,Z,0,Z,0,Z,0,Z,0,R,43,R,26,R,17,Z,0,Z,0,Z,0,R,5,R,2,R,3,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,25,-2,1,R,213,R,73,R,140,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,161,R,41,R,120,R,3,R,3,Z,0,Z,0,Z,0,Z,0,R,43,R,26,R,17,Z,0,Z,0,Z,0,R,5,R,2,R,3,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,31,-2,1,R,3,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,3,R,3,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,32,-2,3,R,173,R,95,R,78,R,7,R,5,R,2,R,3,R,2,R,1,R,66,R,25,R,41,R,7,R,5,R,2,R,4,R,3,R,1,R,84,R,53,R,31,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,39,-2,1,R,185,R,67,R,118,Z,0,Z,0,Z,0,R,1,R,1,Z,0,R,140,R,38,R,102,R,2,R,2,Z,0,Z,0,Z,0,Z,0,R,37,R,24,R,13,Z,0,Z,0,Z,0,R,5,R,2,R,3,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,40,-2,1,R,28,R,6,R,22,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,21,R,3,R,18,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,6,R,2,R,4,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,41,-2,999,R,472,R,206,R,266,R,4,R,2,R,2,R,6,R,4,R,2,R,255,R,62,R,193,R,21,R,13,R,8,R,4,R,3,R,1,R,178,R,119,R,59,Z,0,Z,0,Z,0,R,4,R,3,R,1,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,42,-2,1,R,121,R,49,R,72,R,1,Z,0,R,1,R,1,Z,0,R,1,R,79,R,22,R,57,R,7,R,4,R,3,R,1,Z,0,R,1,R,32,R,23,R,9,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,43,-2,1,R,121,R,49,R,72,R,1,Z,0,R,1,R,1,Z,0,R,1,R,79,R,22,R,57,R,7,R,4,R,3,R,1,Z,0,R,1,R,32,R,23,R,9,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,45,-2,1,R,121,R,49,R,72,R,1,Z,0,R,1,R,1,Z,0,R,1,R,79,R,22,R,57,R,7,R,4,R,3,R,1,Z,0,R,1,R,32,R,23,R,9,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,52,-2,3,R,351,R,157,R,194,R,3,R,2,R,1,R,5,R,4,R,1,R,176,R,40,R,136,R,14,R,9,R,5,R,3,R,3,Z,0,R,146,R,96,R,50,Z,0,Z,0,Z,0,R,4,R,3,R,1,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,59,-2,1,R,102,R,43,R,59,R,1,Z,0,R,1,R,1,Z,0,R,1,R,63,R,19,R,44,R,6,R,3,R,3,R,1,Z,0,R,1,R,30,R,21,R,9,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
100690,60,-2,1,R,19,R,6,R,13,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,16,R,3,R,13,R,1,R,1,Z,0,Z,0,Z,0,Z,0,R,2,R,2,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,A,,A,,A,,A,
100706,1,1,999,R,9916,R,5797,R,4119,R,70,R,41,R,29,R,414,R,220,R,194,R,944,R,421,R,523,R,635,R,348,R,287,R,15,R,10,R,5,R,6658,R,4060,R,2598,R,428,R,226,R,202,R,348,R,212,R,136,R,404,R,259,R,145,R,0,S,,S,,S,
100706,2,2,1,R,7625,R,4559,R,3066,R,56,R,33,R,23,R,335,R,180,R,155,R,747,R,356,R,391,R,547,R,300,R,247,R,11,R,6,R,5,R,5202,R,3269,R,1933,R,389,R,207,R,182,R,239,R,147,R,92,R,99,R,61,R,38,R,0,S,,S,,S,
100706,3,-2,1,R,7278,R,4384,R,2894,R,55,R,32,R,23,R,299,R,166,R,133,R,693,R,332,R,361,R,527,R,290,R,237,R,10,R,5,R,5,R,5030,R,3175,R,1855,R,363,R,195,R,168,R,212,R,134,R,78,R,89,R,55,R,34,A,,A,,A,,A,
