UNITID,EFFYDLEV,XEYDETOT,EFYDETOT,XEYDEEXC,EFYDEEXC,XEYDESOM,EFYDESOM,XEYDENON,EFYDENON
102058,12,R,14,R,0,R,12,R,2
102067,1,R,7400,R,3470,R,2675,R,1255
102067,2,R,7400,R,3470,R,2675,R,1255
102067,3,R,4094,R,1139,R,2152,R,803
102067,11,R,3306,R,2331,R,523,R,452
102076,1,R,7821,R,6332,R,1074,R,415
102076,2,R,7821,R,6332,R,1074,R,415
102076,3,R,1939,R,896,R,870,R,173
102076,11,R,5882,R,5436,R,204,R,242
102094,1,R,15943,R,5224,R,6873,R,3846
102094,2,R,10053,R,1169,R,6444,R,2440
102094,3,R,9464,R,731,R,6418,R,2315
102094,11,R,589,R,438,R,26,R,125
102094,12,R,5890,R,4055,R,429,R,1406
102234,1,R,1134,R,237,R,614,R,283
102234,2,R,935,R,71,R,593,R,271
102234,3,R,915,R,70,R,593,R,252
102234,11,R,20,R,1,R,0,R,19
102234,12,R,199,R,166,R,21,R,12
102270,1,R,904,R,195,R,709,R,0
102270,2,R,904,R,195,R,709,R,0
102270,3,R,859,R,190,R,669,R,0
102270,11,R,45,R,5,R,40,R,0
102298,1,R,1317,R,295,R,1022,R,0
102298,2,R,1180,R,262,R,918,R,0
102298,3,R,1180,R,262,R,918,R,0
102298,12,R,137,R,33,R,104,R,0
102313,1,R,2766,R,939,R,1239,R,588
102313,2,R,2766,R,939,R,1239,R,588
102313,3,R,2320,R,786,R,1181,R,353
102313,11,R,446,R,153,R,58,R,235
102368,1,R,17550,R,9765,R,4555,R,3230
102368,2,R,12610,R,6089,R,3862,R,2659
102368,3,R,11999,R,5554,R,3827,R,2618
102368,11,R,611,R,535,R,35,R,41
102368,12,R,4940,R,3676,R,693,R,571
102377,1,R,4240,R,41,Z,0,R,4199
102377,2,R,3578,R,39,Z,0,R,3539
102377,3,R,3506,R,39,Z,0,R,3467
102377,11,R,72,Z,0,Z,0,R,72
102377,12,R,662,R,2,Z,0,R,660
102395,1,R,396,R,388,R,8,R,0
102395,2,R,207,R,199,R,8,R,0
102395,3,R,178,R,170,R,8,R,0
102395,11,R,29,R,29,R,0,R,0
102395,12,R,189,R,189,R,0,R,0
102429,1,R,5472,R,1456,R,1970,R,2046
102429,2,R,5472,R,1456,R,1970,R,2046
102429,3,R,3081,R,721,R,1426,R,934
102429,11,R,2391,R,735,R,544,R,1112
102553,1,R,17753,R,6370,R,6655,R,4728
102553,2,R,16920,R,6012,R,6346,R,4562
102553,3,R,8474,R,2567,R,4926,R,981
102553,11,R,8446,R,3445,R,1420,R,3581
102553,12,R,833,R,358,R,309,R,166
102580,1,R,73,R,2,Z,0,R,71
102580,2,R,73,R,2,Z,0,R,71
102580,3,R,38,R,2,Z,0,R,36
102580,11,R,35,Z,0,Z,0,R,35
102614,1,R,11023,R,4607,R,3058,R,3358
102614,2,R,9814,R,4152,R,2714,R,2948
102614,3,R,5102,R,2347,R,2279,R,476
102614,11,R,4712,R,1805,R,435,R,2472
102614,12,R,1209,R,455,R,344,R,410
102632,1,R,3464,R,1458,R,724,R,1282
102632,2,R,3122,R,1245,R,625,R,1252
102632,3,R,1132,R,485,R,455,R,192
102632,11,R,1990,R,760,R,170,R,1060
102632,12,R,342,R,213,R,99,R,30
102669,1,R,771,R,150,R,275,R,346
102669,2,R,610,R,140,R,245,R,225
102669,3,R,521,R,83,R,235,R,203
102669,11,R,89,R,57,R,10,R,22
102669,12,R,161,R,10,R,30,R,121
102711,1,R,1070,A,,A,,R,1070
102711,2,R,1070,A,,A,,R,1070
102711,3,R,1070,A,,A,,R,1070
102845,1,R,3980,R,1207,R,2773,R,0
102845,2,R,3980,R,1207,R,2773,R,0
102845,3,R,3980,R,1207,R,2773,R,0
103501,1,R,366,A,,A,,R,366
103501,2,R,366,A,,A,,R,366
103501,3,R,366,A,,A,,R,366
103741,1,R,351,A,,A,,R,351
103741,2,R,351,A,,A,,R,351
103741,3,R,351,A,,A,,R,351
103893,1,R,1729,R,341,R,681,R,707
103893,2,R,1729,R,341,R,681,R,707
103893,3,R,1729,R,341,R,681,R,707
103909,1,R,815,R,0,R,341,R,474
103909,2,R,815,R,0,R,341,R,474
103909,3,R,815,R,0,R,341,R,474
103927,1,R,724,R,0,R,360,R,364
103927,2,R,724,R,0,R,360,R,364
